0 5.135495588183403e-02
10 1.688626362010837e-04
20 1.404651993652806e-05
30 2.449101657475694e-06
40 8.756959459788050e-07
50 2.159166569981608e-07
60 3.868284181862691e-08
70 1.084314682486820e-08
80 3.079437815856068e-09
90 5.914545520013803e-10
100 1.065172811065551e-10
110 3.170171070099315e-11
120 1.018144769882046e-11
130 1.755556095460464e-12
140 3.562771551304106e-13
150 1.111943314659712e-13
160 3.657222636711810e-14
170 7.955501153135945e-15
180 1.856477262364561e-15
190 7.018685466329768e-16
200 1.614535059415138e-16
210 2.207530484253135e-17
220 3.880913472007398e-18
230 1.313293772239975e-18
240 3.563867602623799e-19
250 4.777080159240827e-20
260 8.462606966042997e-21
270 2.648055354839603e-21
280 6.520667697007197e-22
290 9.682925561499416e-23
300 1.618962985250435e-23
310 4.312474982472115e-24
320 1.083940440490947e-24
330 1.444669818458086e-25
340 2.223789185131113e-26
350 5.033424457817852e-27
360 2.082390181953322e-27
370 9.984504240119472e-28
380 7.753339436636136e-28
390 7.601372489926803e-28
400 7.540650807675190e-28
410 7.722724854240157e-28
420 7.754278327484025e-28
430 7.764216125997063e-28
440 7.825672069039974e-28
450 7.808501440620789e-28
460 7.808319921723531e-28
470 7.812774597684898e-28
480 7.814096748591720e-28
490 7.815308640009226e-28
500 7.815300936289448e-28
510 nan
520 nan
530 nan
540 nan
