0 5.118276481566924e-02
10 1.781471942338211e-04
20 1.612574782244184e-05
30 3.111061355319644e-06
40 1.490550876680918e-06
50 7.961818394274751e-07
60 2.321962834100445e-07
70 9.837980038231760e-08
80 5.346313745166166e-08
90 2.015565912015739e-08
100 5.303062277015082e-09
110 2.142177626941726e-09
120 1.337446725938736e-09
130 4.463399580335703e-10
140 1.156890954025350e-10
150 3.868220543159194e-11
160 1.981824785490104e-11
170 7.491847877164531e-12
180 1.679314346047872e-12
190 6.785528672996464e-13
200 4.700985285437539e-13
210 1.802940330341827e-13
220 4.030426189777963e-14
230 1.240161796480787e-14
240 8.703103208709037e-15
250 3.091061515183766e-15
260 7.132905947367375e-16
270 2.646730081874588e-16
280 1.643863372722888e-16
290 5.560590365646356e-17
300 1.324196780665279e-17
310 4.758917458419990e-18
320 2.670263887100386e-18
330 7.037321281368256e-19
340 1.588249677042696e-19
350 4.446943251186972e-20
360 2.521136201579338e-20
370 1.228481624218200e-20
380 3.392585470373250e-21
390 1.301447358297335e-21
400 8.279600506300513e-22
410 3.196030035531368e-22
420 6.397426706415984e-23
430 1.687125454276431e-23
440 9.316946101010882e-24
450 3.747274102224292e-24
460 8.659727228605858e-25
470 1.928131147679290e-25
480 8.965585008757069e-26
490 4.968147327867818e-26
500 1.151960148928893e-26
510 2.398301527242994e-27
520 1.006510936110429e-27
530 4.674667869528688e-28
540 1.239915026894236e-28
550 3.083253721141640e-29
560 1.759742556062240e-29
570 7.878655689776958e-30
580 1.753830035598902e-30
590 3.880571026236750e-31
600 1.318956860938635e-31
610 5.479811755153493e-32
620 1.300164362106334e-32
630 2.255612961175867e-33
640 4.672584313877446e-34
650 1.840219300244036e-34
660 7.912960958304115e-35
670 1.809217493227999e-35
680 3.209143638628886e-36
690 1.037437379635116e-36
700 6.643316676627400e-37
710 2.197024757696019e-37
720 3.672409807870541e-38
730 6.014180776327431e-39
740 1.623998566147264e-39
750 8.268035520868756e-40
760 2.671999968637009e-40
770 5.809883208077955e-41
780 1.735666114072538e-41
790 7.697357514209691e-42
800 2.303242993112379e-42
810 4.461392887996737e-43
820 7.014230154797496e-44
830 2.022596545328807e-44
840 1.053944714641728e-44
850 4.661362076667011e-45
860 9.379822729474620e-46
870 1.891701946812133e-46
880 7.035448902488577e-47
890 3.637621832192372e-47
900 8.474438031069094e-48
910 1.179786989825895e-48
920 2.161210120820270e-49
930 8.202311652418051e-50
940 3.910532154228049e-50
950 7.611832503338555e-51
960 1.215438284560713e-51
970 2.487005709441350e-52
980 1.094330130100566e-52
990 4.239171481720606e-53
1000 7.583987762007673e-54
1010 9.664746060800650e-55
1020 1.349133030526841e-55
1030 3.339295754425604e-56
1040 1.370924184720681e-56
1050 5.318751382705463e-57
1060 9.254444303984073e-58
1070 1.254945011090674e-58
1080 1.762746572976434e-59
1090 4.257395999681396e-60
1100 2.062444216995417e-60
1110 6.195853237791768e-61
1120 9.728917558946017e-62
1130 1.306308383587251e-62
1140 1.595987187115605e-63
1150 1.923076602095886e-64
1160 1.998485152917441e-65
1170 1.952049624244410e-66
1180 1.924867344095499e-67
1190 1.933710890130550e-68
1200 1.988776461440332e-69
1210 1.928588059766732e-70
1220 2.371951181153810e-71
1230 2.914384782585783e-72
1240 3.949097162691013e-73
1250 4.371856530657328e-74
1260 4.564936356663950e-75
1270 4.193992506800466e-76
1280 4.491711917740007e-77
1290 5.336758547575119e-78
1300 6.037688970638364e-79
1310 6.653482186206561e-80
1320 7.224267827554664e-81
1330 6.884706820398177e-82
1340 7.265522523443381e-83
1350 8.410508149703130e-84
1360 9.100690904185514e-85
1370 7.807246398683558e-86
1380 8.464449357468390e-87
1390 1.042429290725021e-87
1400 1.095059105058551e-88
1410 1.120097373948497e-89
1420 1.103496783329214e-90
