0 4.468799382448196e-02
10 2.044371649390087e-04
20 1.896807771117892e-05
30 4.857622570852982e-06
40 1.547626425235649e-06
50 5.227986434874765e-07
60 1.559487401436854e-07
70 4.593863778268314e-08
80 1.739904931241654e-08
90 4.858638824600803e-09
100 1.239695790467010e-09
110 3.647334934075985e-10
120 1.237246277652204e-10
130 3.134020820638739e-11
140 9.035851927796656e-12
150 2.765193456155668e-12
160 9.664906678794050e-13
170 4.393910094709769e-13
180 3.457075934115011e-13
190 3.262515041110858e-13
200 3.466655673460550e-13
210 3.482556311471680e-13
220 3.525377689425624e-13
230 3.585753926855367e-13
240 3.640498005049592e-13
250 3.656510315884487e-13
260 3.664989318974410e-13
270 3.670041701098192e-13
280 3.676593805877065e-13
290 3.678325547797068e-13
300 3.679560725122072e-13
310 3.680006874316050e-13
320 3.680082497417581e-13
330 3.680096863096366e-13
340 3.680088189478986e-13
350 3.680086292125184e-13
360 3.680091171034960e-13
370 3.680091984186590e-13
380 3.680092526287676e-13
390 3.680092797338219e-13
400 3.680092797338219e-13
410 3.680092797338219e-13
420 3.680092797338219e-13
430 3.680092797338219e-13
440 3.680092797338219e-13
450 3.680092797338219e-13
460 3.680092797338219e-13
470 3.680092797338219e-13
480 3.680092797338219e-13
