0 4.464929956832417e-02
10 2.150001332866288e-04
20 2.128615876144735e-05
30 6.299693445612079e-06
40 2.400883369454309e-06
50 1.477314201142459e-06
60 8.316080586749651e-07
70 4.239337253609898e-07
80 3.212207690019641e-07
90 2.449350145554979e-07
100 1.405583431701357e-07
110 7.640945174737879e-08
120 5.672444093109401e-08
130 3.341523243567746e-08
140 1.832487886191787e-08
150 1.020331905880010e-08
160 6.062544013624785e-09
170 3.017884752828972e-09
180 1.985483023284306e-09
190 1.012244519831004e-09
200 4.901658464785016e-10
210 2.643003073185811e-10
220 1.580473288975790e-10
230 1.056951399102697e-10
240 7.977975616265357e-11
250 3.484626153114172e-11
260 1.822499643198923e-11
270 9.856666136472164e-12
280 6.008062789256877e-12
290 3.103063060420594e-12
300 1.995394327134685e-12
310 1.359235231162131e-12
320 5.903347684939240e-13
330 2.681683445847371e-13
340 1.182303740441465e-13
350 4.698316771182532e-14
360 1.524306183195182e-14
370 6.120971410142286e-15
380 3.305107950631520e-15
390 1.980613909393232e-15
400 9.200632154915686e-16
410 4.253302578426694e-16
420 2.373958286190878e-16
430 1.212904672961747e-16
440 5.968968830983467e-17
450 4.693192114077182e-17
460 5.187575802406667e-17
470 2.831404892345897e-17
480 1.297414183111065e-17
490 8.459332914459691e-18
500 4.275373756162609e-18
510 1.826788924608167e-18
520 1.078482511006198e-18
530 9.456919172642771e-19
540 6.039159681278264e-19
550 2.584009749009850e-19
560 1.083614936082873e-19
570 5.320151548133495e-20
580 2.802866466616885e-20
590 1.508171388836764e-20
600 8.394271969086469e-21
610 7.081079473033514e-21
620 5.669884274495340e-21
630 2.654741299913136e-21
640 1.214703759476043e-21
650 6.686747942961330e-22
660 3.722813989087784e-22
670 1.313183309951827e-22
680 4.526502767508701e-23
690 2.056288244271719e-23
700 1.076976638098991e-23
710 4.190261288980816e-24
720 2.436781801269248e-24
730 1.288153704640711e-24
740 5.190141384225487e-25
750 1.694062817667247e-25
760 6.545919989523022e-26
770 2.128495130287141e-26
780 5.978625861884713e-27
790 2.234958924479167e-27
800 1.173417995899592e-27
810 6.281817035455248e-28
820 2.728517630005304e-28
830 1.111632784371904e-28
840 5.395472277219927e-29
850 2.882572213715813e-29
860 1.205282379902387e-29
870 5.880339466438254e-30
880 4.595555334354828e-30
890 4.257799349487156e-30
900 4.252037901851457e-30
910 4.306239115957133e-30
920 4.360307415153523e-30
930 4.389862887359145e-30
940 4.421081909259557e-30
950 4.445863342728853e-30
960 4.480420861224253e-30
970 4.497389907486847e-30
980 4.505559671670288e-30
990 4.516264763382445e-30
1000 4.520603649377771e-30
1010 4.517808780854043e-30
1020 4.516773968600668e-30
1030 4.516909022987607e-30
1040 4.517006604630845e-30
1050 4.517020274777364e-30
1060 4.517011330590426e-30
1070 4.517017117538254e-30
1080 4.517016978624321e-30
1090 4.517017363937587e-30
1100 4.517017525175454e-30
1110 4.517017533041220e-30
1120 4.517017534466281e-30
1130 4.517017532388143e-30
1140 4.517017532442029e-30
1150 4.517017532857885e-30
1160 4.517017532855978e-30
1170 4.517017532855068e-30
1180 4.517017532854530e-30
1190 4.517017532854130e-30
